job title,company names,location,employment type,links
Financial Analyst,Zat care -,"Cairo, Egypt",Part Time,https://wuzzuf.net/jobs/p/eLfa08M83zCw-Financial-Analyst-Zat-care-Cairo-Egypt
Data Analyst,Second profit   -,"Nasr City, Cairo, Egypt",Full Time,https://wuzzuf.net/jobs/p/StxQYW68mlNE-Data-Analyst-Second-profit-Cairo-Egypt
Compliance Analyst,Teleperformance - Egypt -,"Cairo, Egypt",Full Time,https://wuzzuf.net/jobs/p/uxj3snhzSEVJ-Compliance-Analyst-Teleperformance---Egypt-Cairo-Egypt
Quality Monitoring Analyst (Call Center),Xceed Contact Center -,"Maadi, Cairo, Egypt",Full Time,https://wuzzuf.net/jobs/p/DZhHSae1WhY8-Quality-Monitoring-Analyst-Call-Center-Xceed-Contact-Center-Cairo-Egypt
Senior Financial Planning Analyst,Sky Holding -,"Cairo, Egypt",Full Time,https://wuzzuf.net/jobs/p/dRH3zeHFi1Y1-Senior-Financial-Planning-Analyst-Sky-Holding-Cairo-Egypt
Workforce Manager Real Time Analyst - Spanish and English speaker,Teleperformance - Egypt -,"Katameya, Cairo, Egypt",Full Time,https://wuzzuf.net/jobs/p/S5CVhGOCR1xh-Workforce-Manager-Real-Time-Analyst---Spanish-and-English-speaker-Teleperformance---Egypt-Cairo-Egypt
Market Research Analyst,Maison de Maa -,"Heliopolis, Cairo, Egypt",Full Time,https://wuzzuf.net/jobs/p/X0zWCU31Rarm-Market-Research-Analyst-Maison-de-Maa-Cairo-Egypt
Financial Analyst,B.TECH -,"Nasr City, Cairo, Egypt",Full Time,https://wuzzuf.net/jobs/p/9DDjYOLhL1Ym-Financial-Analyst-B-TECH-Cairo-Egypt
Market Research Analyst,Confidential -,"Cairo, Egypt",Full Time,https://wuzzuf.net/jobs/p/WgQQC5eeo5KR-Market-Research-Analyst-Cairo-Egypt
Senior ERP Business Analyst,BI-Technologies -,"New Cairo, Cairo, Egypt",Full Time,https://wuzzuf.net/jobs/p/LS5ZTGKMmyer-Senior-ERP-Business-Analyst-BI-Technologies-Cairo-Egypt
Quality Assurance Analyst - English Speaker,Teleperformance - Egypt -,"New Cairo, Cairo, Egypt",Full Time,https://wuzzuf.net/jobs/p/LVXyhEGKuNN5-Quality-Assurance-Analyst---English-Speaker-Teleperformance---Egypt-Cairo-Egypt
QA Analyst - Spanish Speakers,Teleperformance - Egypt -,"New Cairo, Cairo, Egypt",Full Time,https://wuzzuf.net/jobs/p/YonqR3gMqQYV-QA-Analyst---Spanish-Speakers-Teleperformance---Egypt-Cairo-Egypt
QA Analyst - Italian Speakers,Teleperformance - Egypt -,"New Cairo, Cairo, Egypt",Full Time,https://wuzzuf.net/jobs/p/iqttoXfOXH3B-QA-Analyst---Italian-Speakers-Teleperformance---Egypt-Cairo-Egypt
QA Analyst - German Speakers,Teleperformance - Egypt -,"New Cairo, Cairo, Egypt",Full Time,https://wuzzuf.net/jobs/p/R43veuCnVisR-QA-Analyst---German-Speakers-Teleperformance---Egypt-Cairo-Egypt
System Analyst/Technical Writer,Tamweely -,"Cairo, Egypt",Full Time,https://wuzzuf.net/jobs/p/ZjVqYMxvgGC3-System-AnalystTechnical-Writer-Tamweely-Cairo-Egypt
QA Analyst - French Speakers,Teleperformance - Egypt -,"New Cairo, Cairo, Egypt",Full Time,https://wuzzuf.net/jobs/p/OpchPafKGSy4-QA-Analyst---French-Speakers-Teleperformance---Egypt-Cairo-Egypt
Data Marketing Analyst,Madar Soft -,"Fleming, Alexandria, Egypt",Full Time,https://wuzzuf.net/jobs/p/7Y5gV4BJSesN-Data-Marketing-Analyst-Madar-Soft-Alexandria-Egypt
Senior Financial Analyst,Etqan -,"New Cairo, Cairo, Egypt",Full Time,https://wuzzuf.net/jobs/p/l6ZSxD43Ytvl-Senior-Financial-Analyst-Etqan-Cairo-Egypt
IT Analyst,Dora Management Solutions -,"Sheraton, Cairo, Egypt",Full Time,https://wuzzuf.net/jobs/p/PFpmqrP59veV-IT-Analyst-Dora-Management-Solutions-Cairo-Egypt
Reporting Analyst,Foundever -,"Nasr City, Cairo, Egypt",Full Time,https://wuzzuf.net/jobs/p/ZD80po0zQ6Zv-Reporting-Analyst-Sykes-Enterprises-Cairo-Egypt
